,size,total_sqft,bath,price,site_location,bhk
0,2 BHK,1056.0,2.0,39.07,Alandi Road,2
1,4 Bedroom,2894.0,4.0,245.0,Alandi Road,4
2,2 BHK,1084.0,2.0,50.0,Alandi Road,2
3,2 BHK,1230.0,2.0,80.0,Alandi Road,2
4,3 BHK,1750.0,3.0,130.0,Alandi Road,3
5,2 BHK,995.0,2.0,41.0,Alandi Road,2
8,2 BHK,1360.0,2.0,95.0,Alandi Road,2
9,2 BHK,1040.0,2.0,50.0,Alandi Road,2
10,3 BHK,1655.0,3.0,86.06,Alandi Road,3
12,4 BHK,2790.0,5.0,198.0,Alandi Road,4
13,2 BHK,1028.0,2.0,42.0,Alandi Road,2
14,2 BHK,920.0,2.0,35.0,Alandi Road,2
15,2 BHK,1300.0,2.0,57.0,Alandi Road,2
16,3 BHK,1564.0,3.0,101.0,Alandi Road,3
17,2 BHK,1012.0,2.0,59.0,Alandi Road,2
18,4 BHK,2519.0,5.0,185.0,Alandi Road,4
19,2 BHK,1520.0,2.0,62.0,Alandi Road,2
20,3 BHK,1550.0,3.0,78.0,Alandi Road,3
21,2 BHK,950.0,2.0,46.5,Alandi Road,2
22,2 BHK,1280.0,2.0,56.0,Alandi Road,2
23,2 BHK,1350.0,2.0,79.0,Alandi Road,2
24,3 Bedroom,1500.0,2.0,85.0,Alandi Road,3
25,4 BHK,3250.0,4.0,230.0,Alandi Road,4
26,3 BHK,1150.0,2.0,77.5,Alandi Road,3
27,3 BHK,1080.0,2.0,75.0,Alandi Road,3
28,3 BHK,1743.0,3.0,93.25,Alandi Road,3
29,2 BHK,984.0,2.0,45.91,Alandi Road,2
30,9 Bedroom,4500.0,9.0,166.0,Alandi Road,9
31,2 BHK,1225.0,2.0,55.0,Alandi Road,2
32,2 BHK,1100.0,2.0,50.0,Alandi Road,2
33,2 BHK,1210.0,2.0,75.0,Alandi Road,2
34,2 BHK,1250.0,2.0,72.0,Alandi Road,2
35,2 BHK,900.0,2.0,42.0,Alandi Road,2
36,2 BHK,1075.0,2.0,52.43,Alandi Road,2
37,2 BHK,1265.0,2.0,82.0,Alandi Road,2
38,2 BHK,900.0,2.0,41.0,Alandi Road,2
40,2 BHK,1100.0,2.0,48.0,Alandi Road,2
